State,UnitID,InstitutionName,Control,TotalEnrollment,SFA1819,SFA1718_RV,SFA1617_RV,SFA1516_RV,SFA1415_RV,SFA1314_RV,SFA1213_RV,SFA1112_RV,SFA1011_RV,SFA0910_RV,EFIA2019,EFIA2018_RV,EFIA2017_RV,EFIA2016_RV,EFIA2015_RV,EFIA2014_RV,EFIA2013_RV,EFIA2012_RV,EFIA2011_RV,EFIA2010_RV,IC2019_AY,IC2018_AY,IC2017_AY,IC2016_AY,IC2015_AY,IC2014_AY,IC2013_AY,IC2012_AY,IC2011_AY_RV,IC2010_AY_RV,IC2009_AY_RV,PercentUndergradAid
OK,207324,Oklahoma Christian University,2,1800,14712,14186,13334,12908,12545,11945,12041,15443,10622,10196,1800,1890,1874,1916,1934,1938,1821,1705,1725,1833,23850,22760,21670,20840,19890,19120,18800,18800,18456,17456,16366,94
OK,207449,Oklahoma City Community College,1,7407,2406,3436,3057,4039,4052,4428,2184,4398,4435,4247,7407,7731,8077,8477,8516,8526,8904,9613,9789,9323,4059,4059,3909,3727,3391,3241,3091,2974,2850,2659,2521,73
OK,207458,Oklahoma City University,2,1719,19070,18724,17506,17574,17783,14285,14495,15541,15515,15848,1719,1668,1747,1759,1778,1913,2012,2232,2290,2119,32594,31026,30726,30726,30726,30726,29426,27500,27500,25760,23950,91
OK,207351,Oklahoma Panhandle State University,1,1064,4946,5021,4114,4606,4544,4596,4465,6407,4408,3702,1064,985,983,1041,1090,1156,1365,1267,1248,1184,7264,7930,6196,7294,7461,7137,6739,6390,5704,4894,4241,44
OK,207315,Oklahoma State University Center for Health Sciences,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OK,207564,Oklahoma State University Institute of Technology,1,2338,5256,5722,4906,3336,8932,9789,5185,2692,4987,2746,2338,2401,2353,2580,3011,3218,3243,3267,3152,3300,5550,5550,5250,5100,4860,4605,4395,4215,4050,3795,3705,84
OK,207388,Oklahoma State University-Main Campus,1,18975,9444,9190,8761,8143,7874,7589,7417,7115,7172,6784,18975,19343,19428,19497,19315,18894,18433,17488,18344,16237,9019,9019,8738,8321,7778,7442,7442,7442,7107,6779,6202,74
OK,207397,Oklahoma State University-Oklahoma City,1,3451,3789,1945,3261,2842,6077,8033,6582,6336,3139,7590,3451,3694,3832,3789,4084,4623,4784,4809,4882,4699,5034,4498,3836,3634,2859,2859,2661,2661,2559,2419,2336,48
OK,469629,Oklahoma Technical College,2,238,7279,8312,6713,5200,6064,4910,4838,5150,5138,,238,257,288,328,210,220,194,167,132,,,,,,,,,,,,,76
OK,206835,Oklahoma Wesleyan University,2,813,11654,11650,11133,10594,8578,9657,8469,8772,9058,7849,813,966,983,1272,614,1047,959,935,965,914,27996,27136,26090,25070,24108,23180,22252,21140,20160,19200,17970,96
OK,207582,Oral Roberts University,2,3170,17344,16118,15592,14388,14470,13610,13234,12482,11793,11467,3170,3003,3078,3017,2848,2469,2919,2624,2749,2750,30070,27728,26792,25676,24792,23410,22508,21576,20756,20054,19106,82
OK,483665,Paul Mitchell the School-Ardmore,3,35,5138,5280,6173,5453,3965,3403,,,,,35,47,60,59,63,8,,,,,,,,,,,,,,,,64
OK,486567,Paul Mitchell the School-Tulsa,3,212,4828,4210,4068,4042,3873,,,,,,212,230,216,209,116,,,,,,,,,,,,,,,,,56
OK,414966,Phillips Theological Seminary,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OK,364627,Pioneer Technology Center,1,289,2319,3164,3490,3848,4154,4254,3589,2514,3173,2731,289,449,346,345,356,328,322,247,247,271,,,,,,,,,,,,33
OK,245962,Platt College,3,238,4306,4217,5471,5736,4965,3775,5990,4164,9738,5162,238,252,373,268,258,338,727,918,1038,997,,,,,,,,,,,,75
OK,428143,Platt College-Lawton,3,174,4694,4312,5738,5346,5359,3211,6534,5531,4163,5012,174,171,210,189,136,134,346,255,257,215,,,,,,,,,,,,64
OK,447379,Platt College-Moore,3,331,4760,4175,5772,5557,5123,3539,6305,5563,3544,5583,331,264,309,229,124,160,348,249,200,198,,,,,,,,,,,,70
OK,445258,Platt College-OKC-Memorial,3,266,4108,4181,5534,5955,10888,4138,5970,11580,3768,5974,266,234,240,266,186,200,390,386,391,394,,,,,,,,,,,,73
OK,245980,Ponca City Beauty College,3,41,6612,4705,4750,3901,5775,5378,4816,4285,5357,5179,41,42,61,70,74,55,45,79,51,47,,,,,,,,,,,,68
OK,206905,Pontotoc Technology Center,1,118,6679,7146,5716,4770,3671,3461,3113,4885,4196,4076,118,119,138,135,113,95,77,55,356,314,,,,,,,,,,,,51
OK,493691,Premier Academy of Cosmetology,3,7,2500,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,56
OK,436067,Pryor Beauty College,3,,,,4850,4450,4803,4734,3947,5000,5000,6483,,,42,51,52,77,94,123,66,64,,,,,,,,,,,,
OK,207157,Randall University,2,288,10809,9949,9089,8689,8072,6365,7779,7581,7043,5189,288,256,269,283,187,170,187,194,191,203,15920,15108,13640,13040,12340,11980,11600,10926,10640,10600,9900,95
