UnitID,Institution Name,State abbreviation (HD2019),Undergraduate enrollment (DRVEF2018_RV),
480824,The College of Health Care Professions-Dallas,TX,85,
480833,The College of Health Care Professions-Fort Worth,TX,509,
489283,The College of Health Care Professions-McAllen Campus,TX,432,
392257,The College of Health Care Professions-Northwest,TX,1552,
449250,The College of Health Care Professions-San Antonio,TX,321,
492722,The College of Health Care Professions-South San Antonio,TX,143,
447591,The College of Health Care Professions-Southwest Houston,TX,600,
491251,The Culinary School of Fort Worth,TX,32,
482972,The Healthcare Institute,TX,82,
439701,The King's University,TX,362,
485953,The Recording Conservatory of Austin,TX,41,
491996,The Salon Professional Academy-Georgetown,TX,37,
458098,The Salon Professional Academy-Lewisville,TX,109,
228769,The University of Texas at Arlington,TX,34472,
228778,The University of Texas at Austin,TX,40804,
228787,The University of Texas at Dallas,TX,19872,
228796,The University of Texas at El Paso,TX,21464,
229027,The University of Texas at San Antonio,TX,27988,
228802,The University of Texas at Tyler,TX,7333,
229300,The University of Texas Health Science Center at Houston,TX,717,
228644,The University of Texas Health Science Center at San Antonio,TX,774,
416801,The University of Texas MD Anderson Cancer Center,TX,356,
228653,The University of Texas Medical Branch at Galveston,TX,753,
229018,The University of Texas of the Permian Basin,TX,4744,
227368,The University of Texas Rio Grande Valley,TX,24678,
229090,The University of Texas System Office,TX,,
485360,The Vocational Nursing Institute Inc,TX,11,
418968,Tint School of Makeup and Cosmetology-Dallas,TX,172,
227058,Tint School of Makeup and Cosmetology-Irving,TX,135,
436775,Toni & Guy Hairdressing Academy-Plano,TX,169,
494719,Tonsorial Arts Barber College,TX,,
483735,Total Transformation Institute of Cosmetology,TX,35,
443298,Trend Barber College,TX,100,
450711,Trend Barber College,TX,92,
402800,Tri-State Cosmetology Institute,TX,159,
229267,Trinity University,TX,2474,
225308,Trinity Valley Community College,TX,4245,
486798,Tulsa Welding School-Houston,TX,1418,
229355,Tyler Junior College,TX,10106,
475662,UCAS Univeristy of Cosmetology Arts & Sciences-La Joya,TX,60,
229425,UCAS University of Cosemtology Arts & Sciences-McAllen,TX,156,
377193,UCAS University of Cosmetology Arts & Sciences,TX,26,
407683,UCAS University of Cosmetology Arts & Sciences-Harlingen,TX,105,
246415,UCAS University of Cosmetology Arts & Sciences-San Antonio 410,TX,60,
229416,Universal Technical Institute of Texas Inc.,TX,1426,
460543,Universal Technical Institute-Dallas Fort Worth,TX,1266,
224323,University of Dallas,TX,1471,
225511,University of Houston,TX,38348,
225414,University of Houston-Clear Lake,TX,6212,
225432,University of Houston-Downtown,TX,12680,
229407,University of Houston-System Administration,TX,,
225502,University of Houston-Victoria,TX,3251,
226471,University of Mary Hardin-Baylor,TX,3397,
227216,University of North Texas,TX,31375,
484905,University of North Texas at Dallas,TX,2949,
228909,University of North Texas Health Science Center,TX,0,
443711,University of North Texas System,TX,,
484756,University of Phoenix-Texas,TX,744,
227863,University of St Thomas,TX,1978,
485537,University of Texas Health Science Center at Tyler,TX,0,
228635,University of Texas Southwestern Medical Center,TX,0,
225627,University of the Incarnate Word,TX,5558,
443322,Valley Grande Institute for Academic Studies,TX,249,
229504,Vernon College,TX,3054,
223472,Vet Tech Institute of Houston,TX,176,
229522,Victoria Beauty College Inc,TX,93,
229540,Victoria College,TX,3860,
365204,Vista College,TX,3500,
377342,Vista College-Online,TX,768,
476559,Vogue College of Cosmetology,TX,100,
229656,Vogue College of Cosmetology-McAllen,TX,317,
476540,Vogue College of Cosmetology-San Antonio Fredericksburg,TX,150,
491871,Vogue International Academy,TX,4,
226879,Wade College,TX,165,
476896,Wade Gordon Hairdressing Academy,TX,86,
492591,Wade Gordon Hairdressing Academy,TX,34,
487065,Wade Gordon Hairdressing Academy-Lubbock,TX,58,
229780,Wayland Baptist University,TX,3356,
229799,Weatherford College,TX,6389,
477039,West Coast University-Dallas,TX,792,
229814,West Texas A & M University,TX,7376,
224660,Western Technical College,TX,495,
224679,Western Technical College,TX,1162,
229832,Western Texas College,TX,2179,
229841,Wharton County Junior College,TX,6768,
229887,Wiley College,TX,1003,
226860,William Edge Institute,TX,37,
484136,Yahweh Beauty Academy,TX,38,
