UnitID,Institution Name,Published in-district tuition and fees 2018-19 (IC2018_AY),Published in-district tuition and fees 2017-18 (IC2017_AY),Published in-district tuition and fees 2016-17 (IC2016_AY),Published in-district tuition and fees 2015-16 (IC2015_AY),Published in-district tuition and fees 2014-15 (IC2014_AY),Published in-district tuition and fees 2013-14 (IC2013_AY),Published in-district tuition and fees 2012-13 (IC2012_AY),Published in-district tuition and fees 2011-12 (IC2011_AY_RV),Published in-district tuition and fees 2010-11 (IC2010_AY_RV),Published in-district tuition and fees 2009-10 (IC2009_AY_RV),
228343,Southwestern University,42000,40560,39060,37560,36120,35240,34410,33440,31630,30220,
227854,St Philip's College,2820,2760,2188,2088,2088,2038,2038,1952,1562,1562,
228149,St. Mary's University,30650,29300,28200,27160,26186,25126,24226,23426,22576,21876,
382902,Star College of Cosmetology 2,,,,,,,,,,,
228431,Stephen F Austin State University,8316,7716,7716,7560,8892,8412,7928,7344,6998,6732,
491066,Strand Institute of Beauty & Esthetics,,,,,,,,,,,
458973,Strayer University-Texas,13380,13857,12975,12975,12975,15495,14985,14805,14085,,
228501,Sul Ross State University,6816,8072,6419,5927,5676,5436,4764,4764,4568,4396,
228529,Tarleton State University,7292,7367,7140,6630,6516,5856,5522,5281,5195,4909,
228547,Tarrant County College District,1661,1593,1416,1320,1320,1320,1296,1224,1200,1200,
228608,Temple College,2376,2328,2136,2268,2160,2160,2160,2112,1920,1800,
228699,Texarkana College,2236,2116,2116,1952,1880,2330,2260,1808,1690,1326,
226152,Texas A & M International University,7176,7143,7016,6635,6453,5818,5714,5409,5105,4739,
228723,Texas A & M University-College Station,11870,11234,11036,10176,9685,8506,8506,8421,8387,8176,
224554,Texas A & M University-Commerce,8748,8434,7750,6202,5892,6583,6583,6283,5998,5500,
224147,Texas A & M University-Corpus Christi,9055,8750,8424,7976,7655,7172,7084,6594,6294,5618,
228705,Texas A & M University-Kingsville,8922,8462,8049,7700,7554,6940,6940,6640,6346,4386,
228732,Texas A & M University-System Office,,,,,,,,,,,
483036,Texas A&M University-Central Texas,,,,,,,,,,,
459949,Texas A&M University-San Antonio,8656,8216,6562,,,,,,,,
224545,Texas A&M University-Texarkana,7363,6963,6840,6411,6059,5578,5328,4974,4467,,
440989,Texas Barber College,,,,,,,,,,,
458061,Texas Beauty College,,,,,,,,,,,
228866,Texas Chiropractic College Foundation Inc,,,,,,,,,,,
228875,Texas Christian University,46950,44760,42670,40720,38600,36590,34590,32490,30090,28298,
228884,Texas College,10008,10008,10008,10008,10008,10008,9682,9682,9482,9490,
377315,Texas College of Cosmetology-Abilene,,,,,,,,,,,
487232,Texas College of Cosmetology-Lubbock,,,,,,,,,,,
419633,Texas College of Cosmetology-San Angelo,,,,,,,,,,,
430704,Texas Health and Science University,,,,,,,,,,,
448196,Texas Health School,,,,,,,,,,,
494694,Texas Healthtech Institute,,,,,,,,,,,
228981,Texas Lutheran University,29960,29960,28910,27900,26800,25890,24990,23930,22890,21910,
229063,Texas Southern University,9173,9173,9000,8726,8126,7946,7646,7442,7360,6401,
227377,Texas Southmost College,3198,3198,3198,3198,5282,5372,5488,5352,5109,4872,
487320,Texas State Technical College,5570,5123,4665,4386,,,,,,,
228459,Texas State University,10280,9985,9605,9348,8950,8060,7732,7264,6458,6168,
229115,Texas Tech University,9080,8860,8428,8028,7811,7517,7517,7380,6970,6210,
229337,Texas Tech University Health Sciences Center,,,,,,,,,,,
492689,Texas Tech University Health Sciences Center-El Paso,,,,,,,,,,,
439154,Texas Tech University System Administration,,,,,,,,,,,
229160,Texas Wesleyan University,30300,27800,26050,24454,23144,22040,20840,19760,18710,17760,
229179,Texas Woman's University,7796,7486,7238,6948,7836,7339,7050,5429,5428,5046,
451820,The Art Institute of Austin,17568,17662,17664,17664,17668,17668,17808,17768,17568,23052,
222938,The Art Institute of Houston,17568,17662,17664,17664,17668,17668,17868,17868,17618,22804,
458982,The Art Institute of San Antonio,17568,17662,17664,17664,17668,17668,17868,17868,17618,,
437635,The College of Health Care Professions-Austin,,,,,,,,,,,
480824,The College of Health Care Professions-Dallas,,,,,,,,,,,
480833,The College of Health Care Professions-Fort Worth,,,,,,,,,,,
489283,The College of Health Care Professions-McAllen Campus,,,,,,,,,,,
392257,The College of Health Care Professions-Northwest,,,,,,,,,,,
449250,The College of Health Care Professions-San Antonio,,,,,,,,,,,
492722,The College of Health Care Professions-South San Antonio,,,,,,,,,,,
447591,The College of Health Care Professions-Southwest Houston,,,,,,,,,,13213,
491251,The Culinary School of Fort Worth,,,,,,,,,,,
482972,The Healthcare Institute,,,,,,,,,,,
439701,The King's University,15000,14400,13650,12990,12390,11475,10755,10080,9600,9150,
485953,The Recording Conservatory of Austin,,,,,,,,,,,
491996,The Salon Professional Academy-Georgetown,,,,,,,,,,,
458098,The Salon Professional Academy-Lewisville,,,,,,,,,,,
228769,The University of Texas at Arlington,10496,9952,9616,9208,8878,8878,8878,8878,8500,8186,
228778,The University of Texas at Austin,10610,10398,10092,9806,9830,9798,9790,9794,9416,8936,
228787,The University of Texas at Dallas,13034,11528,11192,10864,10864,10864,10666,10276,9886,9510,
228796,The University of Texas at El Paso,8198,7851,7548,7259,7259,7255,7214,7065,6731,6223,
229027,The University of Texas at San Antonio,8049,7969,7700,7447,7457,7457,7389,7042,6718,6417,
228802,The University of Texas at Tyler,8292,7822,7602,7312,7312,7222,7222,6592,6322,6042,
229300,The University of Texas Health Science Center at Houston,,,,,,,,,,,
228644,The University of Texas Health Science Center at San Antonio,,,,,,,7244,6944,4979,4481,
416801,The University of Texas MD Anderson Cancer Center,,,,,,,,,,,
228653,The University of Texas Medical Branch at Galveston,,,,,,,,,,,
229018,The University of Texas of the Permian Basin,6260,5782,5774,5250,5250,5250,5250,5124,4900,4502,
227368,The University of Texas Rio Grande Valley,7813,7587,7438,7292,5173,5173,5165,5034,4795,4561,
229090,The University of Texas System Office,,,,,,,,,,,
485360,The Vocational Nursing Institute Inc,,,,,,,,,,,
